Facility Name,Facility ID,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
SOUTHEAST ALABAMA MEDICAL CENTER,010001,AL,READM-30-HIP-KNEE-HRRP,301,,1.1787,5.5863,4.7392,20,07/01/2015,06/30/2018
SOUTHEAST ALABAMA MEDICAL CENTER,010001,AL,READM-30-CABG-HRRP,279,,1.2361,14.5943,11.8065,46,07/01/2015,06/30/2018
SOUTHEAST ALABAMA MEDICAL CENTER,010001,AL,READM-30-AMI-HRRP,742,,1.0446,15.2935,14.6404,116,07/01/2015,06/30/2018
SOUTHEAST ALABAMA MEDICAL CENTER,010001,AL,READM-30-HF-HRRP,1114,,1.0453,22.3772,21.4082,252,07/01/2015,06/30/2018
SOUTHEAST ALABAMA MEDICAL CENTER,010001,AL,READM-30-COPD-HRRP,495,,1.0249,18.6162,18.1637,94,07/01/2015,06/30/2018
SOUTHEAST ALABAMA MEDICAL CENTER,010001,AL,READM-30-PN-HRRP,605,,1.0049,16.8059,16.7237,102,07/01/2015,06/30/2018
MARSHALL MEDICAL CENTERS SOUTH CAMPUS,010005,AL,READM-30-COPD-HRRP,636,,0.9028,16.1179,17.8526,95,07/01/2015,06/30/2018
MARSHALL MEDICAL CENTERS SOUTH CAMPUS,010005,AL,READM-30-AMI-HRRP,N/A,,0.9255,14.1024,15.2379,Too Few to Report,07/01/2015,06/30/2018
MARSHALL MEDICAL CENTERS SOUTH CAMPUS,010005,AL,READM-30-HF-HRRP,341,,0.9911,20.3917,20.5744,69,07/01/2015,06/30/2018
MARSHALL MEDICAL CENTERS SOUTH CAMPUS,010005,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
MARSHALL MEDICAL CENTERS SOUTH CAMPUS,010005,AL,READM-30-PN-HRRP,697,,0.9833,15.0773,15.3333,104,07/01/2015,06/30/2018
MARSHALL MEDICAL CENTERS SOUTH CAMPUS,010005,AL,READM-30-HIP-KNEE-HRRP,257,,1.0232,4.8877,4.7767,13,07/01/2015,06/30/2018
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-CABG-HRRP,136,,1.0096,12.3254,12.2079,17,07/01/2015,06/30/2018
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-AMI-HRRP,458,,0.9673,13.5122,13.9685,60,07/01/2015,06/30/2018
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-HIP-KNEE-HRRP,399,,1.1841,4.9578,4.1869,23,07/01/2015,06/30/2018
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-PN-HRRP,837,,0.9827,15.5479,15.8209,129,07/01/2015,06/30/2018
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-COPD-HRRP,632,,1.0018,17.8584,17.8263,113,07/01/2015,06/30/2018
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-HF-HRRP,793,,0.9469,19.4539,20.5458,151,07/01/2015,06/30/2018
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.1268,5.4144,4.8053,Too Few to Report,07/01/2015,06/30/2018
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-PN-HRRP,211,,1.0590,15.3122,14.4590,36,07/01/2015,06/30/2018
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-HF-HRRP,79,,1.0744,19.9189,18.5387,20,07/01/2015,06/30/2018
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-COPD-HRRP,140,,1.0361,18.8096,18.1544,29,07/01/2015,06/30/2018
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-PN-HRRP,N/A,,0.9610,13.3078,13.8483,Too Few to Report,07/01/2015,06/30/2018
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-COPD-HRRP,N/A,,0.9728,16.2425,16.6962,Too Few to Report,07/01/2015,06/30/2018
ST VINCENT'S EAST,010011,AL,READM-30-AMI-HRRP,165,,0.9533,13.1426,13.7859,19,07/01/2015,06/30/2018
ST VINCENT'S EAST,010011,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.0344,5.1935,5.0208,Too Few to Report,07/01/2015,06/30/2018
ST VINCENT'S EAST,010011,AL,READM-30-PN-HRRP,421,,1.0048,16.5520,16.4729,70,07/01/2015,06/30/2018
ST VINCENT'S EAST,010011,AL,READM-30-COPD-HRRP,308,,0.9219,17.9044,19.4219,49,07/01/2015,06/30/2018
ST VINCENT'S EAST,010011,AL,READM-30-HF-HRRP,449,,1.0427,22.3671,21.4507,103,07/01/2015,06/30/2018
ST VINCENT'S EAST,010011,AL,READM-30-CABG-HRRP,99,,1.0967,15.7703,14.3802,18,07/01/2015,06/30/2018
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-PN-HRRP,356,,0.9782,14.7245,15.0527,51,07/01/2015,06/30/2018
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-COPD-HRRP,196,,1.0220,17.0367,16.6702,35,07/01/2015,06/30/2018
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-AMI-HRRP,87,,1.0053,13.4547,13.3845,12,07/01/2015,06/30/2018
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-HF-HRRP,159,,1.0326,20.1724,19.5349,34,07/01/2015,06/30/2018
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-CABG-HRRP,N/A,,0.8833,10.6747,12.0850,Too Few to Report,07/01/2015,06/30/2018
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.0222,4.7148,4.6123,Too Few to Report,07/01/2015,06/30/2018
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-COPD-HRRP,238,,1.0394,18.9437,18.2263,48,07/01/2015,06/30/2018
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-AMI-HRRP,210,,0.9327,13.3153,14.2755,24,07/01/2015,06/30/2018
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-PN-HRRP,377,,0.9819,15.7011,15.9903,58,07/01/2015,06/30/2018
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-HF-HRRP,384,,0.9552,20.7808,21.7563,77,07/01/2015,06/30/2018
UAB CALLAHAN EYE HOSPITAL AUTHORITY,010018,AL,READM-30-COPD-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
UAB CALLAHAN EYE HOSPITAL AUTHORITY,010018,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
UAB CALLAHAN EYE HOSPITAL AUTHORITY,010018,AL,READM-30-HF-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
UAB CALLAHAN EYE HOSPITAL AUTHORITY,010018,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
UAB CALLAHAN EYE HOSPITAL AUTHORITY,010018,AL,READM-30-PN-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
UAB CALLAHAN EYE HOSPITAL AUTHORITY,010018,AL,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
